# Date generated on Tue Nov  2 20:15:51 EDT 2010
# year , month, candidate name, contributor indus, contrib amount in $

2007, 12, Kerry, CANDIDATE COMMITTEES, 3430739.0
n/a, n/a, , NON-CONTRIBUTION, 1040750.56
n/a, n/a, , NON-CONTRIBUTION, 896998.75
n/a, n/a, , NON-CONTRIBUTION, 711333.56
n/a, n/a, , NON-CONTRIBUTION, 624326.25
2007, 08, Kerry, CANDIDATE COMMITTEES, 550000.0
n/a, n/a, , NON-CONTRIBUTION, 489258.62
n/a, n/a, , NON-CONTRIBUTION, 446120.0
n/a, n/a, , NON-CONTRIBUTION, 434179.03
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 400000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 386000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 375000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 375000.0
2007, 12, , PARTY COMMITTEES, 334320.28
2008, 02, O'Reilly, CANDIDATE COMMITTEES, 300000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 300000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 300000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 300000.0
2008, 12, , PARTY COMMITTEES, 288727.84
2007, 01, Kerry, CANDIDATE COMMITTEES, 285000.0
n/a, n/a, , NON-CONTRIBUTION, 262482.34
2007, 01, Kerry, CANDIDATE COMMITTEES, 250000.0
n/a, n/a, , NON-CONTRIBUTION, 236014.8
n/a, n/a, , NON-CONTRIBUTION, 223075.67
2007, 01, Kerry, CANDIDATE COMMITTEES, 215000.0
2007, 10, Tsongas, MISC UNIONS, 208000.0
2008, 06, O'Reilly, CANDIDATE COMMITTEES, 200000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 200000.0
2007, 02, Kerry, CANDIDATE COMMITTEES, 200000.0
2007, 03, Donoghue, CANDIDATE COMMITTEES, 200000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 200000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 200000.0
2007, 02, Kerry, CANDIDATE COMMITTEES, 200000.0
2007, 02, Kerry, NON-CONTRIBUTION, 200000.0
2007, 12, Kerry, CANDIDATE COMMITTEES, 192508.0
2008, 09, O'Reilly, CANDIDATE COMMITTEES, 160000.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 150000.0
n/a, n/a, , NON-CONTRIBUTION, 148614.5
n/a, n/a, , NON-CONTRIBUTION, 146283.81
2007, 08, Donoghue, CANDIDATE COMMITTEES, 125000.0
2007, 03, Donoghue, CANDIDATE COMMITTEES, 125000.0
2008, 10, Kerry, PARTY COMMITTEES, 117535.0
n/a, n/a, , NON-CONTRIBUTION, 106675.0
2008, 01, , CANDIDATE SELF-FINANCE, 100000.0
2008, 12, Frank, CANDIDATE COMMITTEES, 95000.0
2008, 10, Frank, CANDIDATE COMMITTEES, 95000.0
2008, 12, , PARTY COMMITTEES, 93354.74
2008, 12, , CANDIDATE SELF-FINANCE, 93302.88
2007, 10, Ogonowski, WOMEN'S ISSUES, 90262.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 74863.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 66750.0
2007, 01, Kerry, CANDIDATE COMMITTEES, 61000.0
2008, 10, Beatty, CANDIDATE COMMITTEES, 59598.0
n/a, n/a, , NON-CONTRIBUTION, 50212.0
2007, 10, O'Reilly, CANDIDATE COMMITTEES, 50000.0
