# 2008 Berry 
# year , month, candidate name, issue, votes (yes or no)


2008, n/a, Berry, Budget, Spending and Taxes, YES
2008, n/a, Berry, Budget, Spending and Taxes, YES
2008, n/a, Berry, Civil Liberties and Civil Rights, NO
2008, n/a, Berry, Crime Issues, YES
2008, n/a, Berry, Crime Issues, NO
2008, n/a, Berry, Health Issues, YES
2008, n/a, Berry, Legal Issues, NO
2008, n/a, Berry, Budget, Spending and Taxes, NO
2008, n/a, Berry, Business and Consumers, YES
2008, n/a, Berry, Transportation Issues, NO
2008, n/a, Berry, Education, YES
2008, n/a, Berry, Budget, Spending and Taxes, YES
2008, n/a, Berry, Budget, Spending and Taxes, YES
2008, n/a, Berry, Business and Consumers, YES
2008, n/a, Berry, Business and Consumers, YES
2008, n/a, Berry, Budget, Spending and Taxes, YES
2008, n/a, Berry, Business and Consumers, YES
2008, n/a, Berry, Budget, Spending and Taxes, YES
2008, n/a, Berry, Business and Consumers, YES
